Zip Code ZCTA,2024 ACS 5-Year Population
00601,16669
00602,37233
00603,48448
00606,5163
00610,25357
00611,1383
00612,62908
00616,9717
00617,22584
00622,7664
00623,39212
00624,21148
00627,32734
00631,1321
00636,968
00637,22909
00638,17319
00641,23831
00646,35998
00647,4369
00650,13200
00652,4504
00653,8495
00656,17398
00659,37327
00660,15405
00662,41090
00664,14807
00667,22792
00669,27417
00670,8512
00674,39093
00676,36972
00677,15483
00678,24595
00680,42689
00682,28977
00683,29490
00685,39988
00687,28397
00688,10028
00690,5870
00692,32802
00693,55387
00694,125
00698,32535
00703,24263
00704,6256
00705,24471
00707,10319
00714,15341
00715,2082
00716,27945
00717,14577
00718,23026
00719,29932
00720,21037
00723,15643
00725,73462
00727,55191
00728,36532
00729,47067
00730,31081
00731,9724
00735,10949
00736,45306
00738,29980
00739,34578
00740,1583
00741,3716
00745,46739
00751,19343
00754,36728
00757,19853
00765,8078
00766,21572
00767,29962
00769,33602
00771,35094
00772,16829
00773,17532
00775,1387
00777,37446
00778,40203
00780,13446
00782,18128
00783,34259
00784,34981
00786,165
00791,45455
00794,28668
00795,43367
00901,6398
00906,49
00907,15817
00909,5633
00911,7297
00912,5845
00913,6943
00915,24607
00917,17116
00918,16172
00920,15900
00921,33119
00923,24551
00924,49922
00925,4882
00926,92284
00927,13868
00934,38
00949,65867
00950,0
00951,389
00952,8165
00953,66156
00956,66734
00957,40194
00959,46260
00960,3025
00961,28888
00962,18947
00965,5848
00966,18791
00968,3633
00969,42231
00971,24367
00976,60620
00979,14776
00982,14050
00983,31472
00985,30497
00987,55747
01001,16234
01002,26370
01003,13510
01005,5204
01007,15419
01008,1327
01009,804
01010,3705
01011,1175
01012,397
01013,23284
01020,30167
01022,1844
01026,1014
01027,17716
01028,16321
01029,539
01030,12305
01031,1676
01032,509
01033,6080
01034,2332
01035,5306
01036,4946
01037,572
01038,2491
01039,1506
01040,37813
01050,2529
01053,2304
01054,1608
01056,20904
01057,8176
01060,16492
01062,9816
01063,2272
01066,115
01068,1639
01069,8821
01070,575
01071,1054
01072,1521
01073,6230
01074,368
01075,17754
01077,9217
01079,438
01080,2454
01081,1747
01082,10392
01083,2858
01084,97
01085,41102
01088,702
01089,28772
01092,1200
01093,225
01094,52
01095,14618
01096,2580
01097,143
01098,979
01103,2477
01104,23209
01105,11843
01106,15853
01107,12009
01108,27405
01109,31124
01118,14839
01119,13616
01128,2896
01129,5672
01144,0
01151,9606
01201,44848
01220,8074
01222,664
01223,2495
01224,228
01225,3216
01226,6256
01229,263
01230,8826
01235,2489
01236,1458
01237,2302
01238,5944
01240,5111
01242,29
01243,173
01244,271
01245,692
01247,14794
01253,936
01254,1036
01255,994
01256,795
01257,2348
01258,193
01259,688
01260,20
01262,1778
01264,188
01266,1000
01267,9633
01270,1036
01301,17876
01330,1704
01331,13922
01337,2589
01338,95
01339,1313
01340,1759
01341,1622
01342,1267
01343,147
01344,1703
01346,454
01347,165
01349,741
01350,122
01351,2636
01354,1740
01355,958
01360,2872
01364,7658
01366,1185
01367,563
01368,1455
01370,3878
01373,4860
01375,3641
01376,4976
01378,776
01379,778
01380,36
01420,41839
01430,6481
01431,3211
01432,8521
01434,1564
01436,3720
01438,330
01440,21276
01450,11356
01451,5487
01452,4371
01453,43851
01460,10280
01462,11919
01463,11697
01464,6976
01468,4183
01469,6820
01473,8374
01474,2280
01475,10265
01501,16877
01503,3378
01504,9255
01505,4948
01506,3460
01507,13435
01510,15563
01515,2166
01516,9376
01518,2598
01519,8058
01520,16912
01521,2583
01522,3152
01523,8606
01524,6327
01525,0
01527,13961
01529,3160
01531,973
01532,15750
01534,6230
01535,4760
01536,6860
01537,2278
01540,10979
01541,3529
01542,2615
01543,9353
01545,38876
01550,17928
01560,4984
01561,0
01562,12008
01564,8183
01566,7362
01568,8011
01569,14304
01570,17748
01571,11929
01581,21944
01583,7606
01585,4810
01588,10258
01590,9422
01602,27092
01603,20868
01604,39812
01605,30579
01606,22844
01607,8706
01608,4932
01609,22047
01610,30444
01611,2299
01612,5002
01701,32618
01702,39789
01718,404
01719,5496
01720,23526
01721,18873
01730,14707
01731,2110
01740,5737
01741,5239
01742,18448
01745,586
01746,15094
01747,6027
01748,19358
01749,20077
01752,41647
01754,10712
01756,6325
01757,30609
01760,36782
01770,4427
01772,9907
01773,4891
01775,7165
01776,19270
01778,14033
01801,41939
01803,26274
01810,35648
01821,30143
01824,26650
01826,32629
01827,3408
01830,26530
01832,26386
01833,8432
01834,6777
01835,14782
01840,8522
01841,52769
01843,27445
01844,53420
01845,32494
01850,17740
01851,33403
01852,37144
01854,30081
01860,6748
01862,12129
01863,9796
01864,15765
01867,25612
01876,31004
01879,12550
01880,27793
01886,24690
01887,23336
01890,23406
01901,2419
01902,50066
01904,21003
01905,28221
01906,28773
01907,15277
01908,3325
01913,17403
01915,41994
01921,8250
01922,3450
01923,27991
01929,3621
01930,30075
01937,107
01938,13930
01940,13285
01944,5403
01945,20470
01949,9816
01950,18652
01951,3327
01952,9281
01960,54474
01965,671
01966,7009
01969,6251
01970,44738
01982,7680
01983,6564
01984,4929
01985,4591
02019,17410
02021,24748
02025,8427
02026,25237
02030,5930
02032,4992
02035,18615
02038,33154
02043,24283
02045,10138
02047,182
02048,23931
02050,25963
02052,13068
02053,13436
02054,8888
02056,11673
02061,11361
02062,31542
02066,19099
02067,18538
02071,2089
02072,29225
02081,19343
02090,16318
02093,12297
02108,3794
02109,3612
02110,2342
02111,8407
02113,6385
02114,14418
02115,29705
02116,21978
02118,28946
02119,27377
02120,15283
02121,29040
02122,23479
02124,56216
02125,33662
02126,26583
02127,36769
02128,43345
02129,20032
02130,40055
02131,31151
02132,26444
02133,62
02134,17667
02135,43149
02136,37265
02138,38509
02139,40033
02140,21204
02141,14517
02142,4737
02143,25513
02144,25448
02145,27495
02148,65906
02149,50045
02150,39908
02151,60012
02152,18759
02155,61730
02163,1817
02169,62993
02170,18809
02171,20164
02176,29650
02180,23355
02184,38899
02186,28735
02188,16179
02189,14450
02190,19695
02191,8181
02199,1292
02203,0
02205,0
02210,6971
02215,24581
02301,68969
02302,36417
02322,4774
02324,25704
02325,2822
02330,11712
02332,16185
02333,14401
02338,7748
02339,14845
02341,10542
02343,11346
02346,24505
02347,11944
02350,118
02351,17053
02356,12475
02357,1566
02359,18382
02360,63689
02364,14027
02366,264
02367,2935
02368,34912
02370,17701
02375,11275
02379,7708
02382,15295
02420,16215
02421,18080
02445,22560
02446,31310
02451,17393
02452,15808
02453,31591
02457,1881
02458,13050
02459,18449
02460,10099
02461,6975
02462,1470
02464,3833
02465,11697
02466,8679
02467,23001
02468,5773
02472,35620
02474,28642
02476,17708
02478,27175
02481,17415
02482,11051
02492,21424
02493,11579
02494,11035
02532,13267
02534,1369
02535,2244
02536,21328
02537,6383
02538,4074
02539,5278
02540,8104
02542,882
02543,747
02553,30
02554,14212
02556,2868
02557,1250
02558,1734
02559,2802
02561,670
02562,3402
02563,10436
02564,255
02568,9412
02571,11258
02575,2718
02576,4168
02584,16
02601,16071
02630,2371
02631,10061
02632,11685
02633,4512
02635,3577
02637,227
02638,3253
02639,3808
02641,316
02642,5811
02643,0
02644,3700
02645,11288
02646,1846
02647,209
02648,7968
02649,15384
02650,1032
02652,845
02653,6443
02655,4024
02657,3703
02659,1137
02660,6381
02663,443
02664,9949
02666,863
02667,3961
02668,2820
02670,1087
02671,818
02672,0
02673,8594
02675,7297
02702,4488
02703,46713
02713,23
02715,3757
02717,4797
02718,6878
02719,15903
02720,30940
02721,26521
02723,17067
02724,18505
02725,2257
02726,16041
02738,5310
02739,6634
02740,46281
02743,10519
02744,12716
02745,24519
02746,17531
02747,22445
02748,11281
02760,29177
02762,9943
02763,1807
02764,4436
02766,19240
02767,15599
02769,13022
02770,5809
02771,15694
02777,17359
02779,6829
02780,53461
02790,16901
02791,290
02802,677
02804,2609
02806,17126
02807,777
02808,2657
02809,22220
02812,1479
02813,8051
02814,7587
02815,161
02816,33298
02817,6647
02818,19786
02822,6539
02823,59
02824,448
02825,6107
02826,831
02827,2469
02828,7023
02829,51
02830,6637
02831,3483
02832,4998
02833,499
02835,5534
02836,104
02837,3584
02838,3740
02839,1525
02840,23448
02841,1426
02842,16832
02852,23406
02857,8262
02858,738
02859,7018
02860,47818
02861,28124
02863,22701
02864,36820
02865,18447
02871,17488
02872,156
02873,124
02874,6379
02875,44
02876,355
02878,16189
02879,21802
02881,7687
02882,13091
02885,11144
02886,31293
02888,19134
02889,27516
02891,21587
02892,5768
02893,31173
02894,831
02895,43521
02896,11583
02898,1912
02903,11836
02904,32531
02905,25012
02906,26380
02907,31461
02908,39500
02909,46014
02910,23499
02911,15653
02912,4836
02914,21834
02915,16752
02916,8695
02917,15293
02918,2925
02919,29802
02920,37155
02921,12149
03031,11849
03032,6119
03033,5736
03034,4352
03036,5300
03037,4714
03038,34474
03042,7430
03043,1398
03044,4831
03045,14080
03046,3097
03047,1730
03048,3237
03049,8603
03051,25557
03052,8499
03053,26327
03054,28176
03055,16337
03057,2709
03060,31657
03062,29441
03063,15805
03064,14391
03070,6177
03071,5310
03076,14449
03077,10900
03079,30964
03082,1531
03084,1363
03086,4258
03087,16038
03101,3201
03102,33959
03103,37775
03104,35237
03106,15032
03109,9929
03110,23746
03215,290
03216,2046
03217,2183
03218,1160
03220,7393
03221,2200
03222,6097
03223,3441
03224,2392
03225,3834
03226,1005
03227,1388
03229,6046
03230,1451
03231,89
03233,156
03234,4939
03235,8903
03237,2575
03238,64
03240,1354
03241,1150
03242,6197
03243,952
03244,8156
03245,1917
03246,17103
03249,7830
03251,1461
03253,6707
03254,5172
03255,2015
03256,2497
03257,4484
03258,2721
03259,252
03260,976
03261,4688
03262,1142
03263,4105
03264,6885
03266,2130
03268,1468
03269,3066
03273,361
03275,12205
03276,9015
03278,3079
03279,878
03280,1224
03281,9170
03282,1052
03284,890
03285,2799
03287,1487
03290,5357
03291,0
03293,72
03301,33995
03303,16571
03304,8335
03307,5724
03431,25065
03440,2661
03441,593
03442,1588
03443,581
03444,1666
03445,687
03446,6588
03447,2278
03448,716
03449,1838
03450,885
03451,3997
03452,5448
03455,2242
03456,855
03457,802
03458,6872
03461,6497
03462,1726
03464,902
03465,2005
03466,1315
03467,2237
03470,4933
03561,6040
03570,9383
03574,2573
03575,11
03576,2764
03579,431
03580,1402
03581,3246
03582,1949
03583,1013
03584,3501
03585,2456
03586,658
03588,1633
03590,1297
03592,1054
03593,465
03595,648
03597,527
03598,3396
03601,382
03602,2381
03603,5238
03604,0
03605,907
03607,368
03608,3167
03609,523
03740,1097
03741,4131
03743,13704
03745,1816
03748,4563
03750,1116
03751,397
03752,1042
03753,3509
03755,10569
03765,513
03766,11195
03768,1710
03770,604
03771,786
03773,7681
03774,1420
03777,1295
03779,868
03780,1071
03781,1918
03782,3122
03784,3804
03785,2018
03801,23484
03809,3680
03810,2314
03811,7267
03812,1116
03813,4273
03814,2324
03816,1538
03817,1066
03818,3805
03819,4471
03820,33440
03823,2203
03824,15080
03825,9489
03826,2654
03827,3279
03830,1381
03832,501
03833,22817
03835,6804
03836,1494
03837,1451
03838,983
03839,4279
03840,4106
03841,6508
03842,16324
03844,2370
03845,1173
03846,897
03847,87
03848,6275
03849,1465
03850,324
03851,4333
03852,205
03853,656
03854,827
03855,2748
03856,2023
03857,9463
03858,4836
03860,3693
03861,4576
03862,4610
03864,2131
03865,7861
03867,22732
03868,6133
03869,2456
03870,5188
03871,356
03872,4438
03873,6628
03874,8487
03875,1005
03878,12205
03882,1912
03883,233
03884,4306
03885,7754
03886,1618
03887,1739
03890,164
03894,6554
03897,8
03901,8175
03902,2665
03903,7146
03904,8389
03905,2084
03906,5368
03907,1379
03908,7431
03909,10943
03910,15
03911,363
04001,2721
04002,7737
04003,183
04005,24772
04006,39
04008,3142
04009,5478
04010,1830
04011,22336
04015,3696
04017,555
04019,93
04020,1803
04021,6990
04022,1054
04024,356
04027,6629
04029,2086
04030,2731
04032,8802
04037,4024
04038,18300
04039,8102
04040,3050
04041,1748
04042,4872
04043,11820
04046,8102
04047,1715
04048,3400
04049,4017
04050,249
04051,1353
04055,3985
04056,100
04057,164
04061,3074
04062,19188
04063,612
04064,8632
04066,837
04068,1746
04069,1696
04071,4971
04072,20819
04073,17414
04074,23076
04076,2976
04079,4026
04083,4833
04084,7900
04085,2762
04086,9706
04087,2250
04088,1269
04090,11713
04091,801
04092,20775
04093,8512
04095,1480
04096,9053
04097,4240
04101,18431
04102,17267
04103,32024
04105,12755
04106,27019
04107,9656
04108,826
04109,213
04110,1657
04210,24602
04216,578
04217,3387
04219,1399
04220,3717
04221,1191
04222,4262
04224,3110
04226,101
04227,35
04231,271
04234,0
04236,4417
04237,276
04238,1105
04239,4657
04240,38324
04250,4782
04252,4968
04253,1868
04254,3102
04255,759
04256,3134
04257,2782
04258,2794
04259,3610
04260,5766
04261,268
04263,2285
04265,552
04267,26
04268,5228
04270,6284
04271,0
04274,5954
04275,526
04276,5942
04280,7040
04281,5317
04282,5891
04284,1101
04285,459
04286,0
04287,3188
04289,1808
04290,1501
04292,845
04294,3982
04330,26690
04341,42
04342,1645
04344,3017
04345,12579
04346,1610
04347,2592
04348,3484
04349,1383
04350,3680
04351,2424
04352,1716
04353,2115
04354,1473
04355,2651
04357,3566
04358,4526
04359,298
04360,536
04363,2690
04364,6191
04401,44854
04406,675
04408,194
04410,1254
04411,1645
04412,9652
04413,162
04414,1766
04415,215
04416,5497
04417,355
04418,1649
04419,2941
04421,1362
04422,1117
04424,983
04426,4999
04427,2990
04428,3334
04429,5008
04430,1495
04431,63
04434,1252
04435,1093
04438,1098
04441,1839
04442,208
04443,2211
04444,9371
04448,1540
04449,1251
04450,1333
04451,217
04453,785
04454,11
04455,925
04456,3069
04457,5823
04459,750
04460,1111
04461,3095
04462,4464
04463,2582
04464,596
04468,9291
04469,3531
04471,730
04472,1852
04473,8371
04474,3853
04475,384
04476,1154
04478,316
04479,1136
04481,547
04485,234
04487,838
04488,1151
04489,214
04490,228
04491,122
04492,175
04493,1840
04495,287
04496,3850
04497,311
04530,11275
04535,818
04537,1685
04538,1810
04539,1456
04541,45
04543,2192
04544,978
04547,1213
04548,1012
04551,917
04553,1913
04554,514
04555,1906
04556,1251
04558,382
04562,2238
04563,1460
04564,520
04568,512
04570,3
04571,439
04572,5253
04573,557
04574,1624
04575,286
04576,547
04578,4709
04579,3158
04605,14529
04606,1045
04607,1142
04609,5244
04611,498
04612,505
04613,92
04614,2813
04616,869
04617,651
04619,3097
04622,1050
04623,1173
04624,225
04625,62
04626,492
04627,2137
04628,582
04630,1230
04631,1263
04634,2374
04635,30
04640,2450
04642,202
04643,917
04645,69
04646,134
04648,570
04649,1166
04650,333
04652,1525
04653,719
04654,3340
04655,1016
04657,326
04658,1222
04660,1072
04662,476
04664,1246
04666,1178
04667,1296
04668,2010
04669,171
04671,621
04673,144
04674,284
04675,123
04676,1130
04677,345
04679,1553
04680,1388
04681,840
04683,0
04684,1836
04685,438
04686,328
04691,499
04693,493
04694,2155
04730,10106
04732,1427
04733,465
04734,804
04735,492
04736,9025
04737,0
04739,825
04740,1433
04742,3309
04743,4770
04745,971
04746,407
04747,1316
04750,1815
04756,3341
04757,2627
04758,1405
04760,674
04761,372
04762,494
04763,629
04764,88
04765,1434
04766,326
04768,374
04769,8736
04772,842
04773,550
04774,624
04776,999
04777,478
04779,446
04780,783
